ano,gini,pib_per_capita,inflacao,pib_ipea,gasto_social,export_pct_gdp,log_pib,log_social
2001,58.4,6823.0331851176,0.6183333333333333,109646.29166666667,566578829.7507408,12.3717106723871,8.828205952160511,20.15512678276851
2002,58.1,6944.62257593723,0.9916666666666667,124065.59166666667,674615931.0866667,14.2305902741157,8.845866894934142,20.329654097399615
2003,57.6,6941.43965883253,0.7458333333333332,143162.53333333333,750018521.991111,15.1807837057459,8.84540852758143,20.435608461511137
2004,56.5,7258.78101654079,0.6124999999999999,163145.92500000002,933456628.574074,16.5457615138976,8.890104944353018,20.65440505984969
2005,56.3,7409.56827992249,0.46249999999999997,180882.05000000002,1053932644.3425926,15.2438292651669,8.910662406297236,20.775794381174112
2006,55.6,7622.03919432148,0.25833333333333336,200787.50833333333,1231428902.109259,14.3743163021339,8.938930413562552,20.93144104191293
2007,54.9,8003.2532101272,0.3641666666666667,226688.57499999998,1304475069.1696298,13.3276751043,8.987728330651409,20.98906655171807
2008,54.0,8330.76364001877,0.4791666666666667,259150.24166666667,1776205476.0455554,13.534000513391,9.027830434241904,21.29774517135872
2009,53.7,8246.09612122851,0.3525,277753.27499999997,2211099730.289259,10.8513711350383,9.017616432061724,21.516755844674297
2011,52.9,9067.99212019529,0.5266666666666667,364471.5,2911754186.8681483,11.5825126792652,9.11261641457469,21.792021550211015
2012,53.4,9167.49818450433,0.4741666666666666,400492.7583333333,3493782664.142963,11.8775390706917,9.12352877697473,21.974250844417668
2013,52.7,9366.73824670239,0.48,443037.925,3732073136.9481483,11.7422306467311,9.145026963672672,22.04022971726042
2014,52.1,9338.34170840985,0.5191666666666667,473942.4166666667,4054778332.774074,11.0119428189165,9.14199104784069,22.123161858105693
