date,year,month,category_id,category,value,group
2006-07-01,2006,7,7170,1.Alimentação e bebidas,0.09,Alimentação e bebidas
2006-08-01,2006,8,7170,1.Alimentação e bebidas,0.07,Alimentação e bebidas
2006-09-01,2006,9,7170,1.Alimentação e bebidas,0.08,Alimentação e bebidas
2006-10-01,2006,10,7170,1.Alimentação e bebidas,0.88,Alimentação e bebidas
2006-11-01,2006,11,7170,1.Alimentação e bebidas,1.05,Alimentação e bebidas
2006-12-01,2006,12,7170,1.Alimentação e bebidas,0.39,Alimentação e bebidas
2006-07-01,2006,7,7445,2.Habitação,-0.02,Habitação
2006-08-01,2006,8,7445,2.Habitação,0.11,Habitação
2006-09-01,2006,9,7445,2.Habitação,0.42,Habitação
2006-10-01,2006,10,7445,2.Habitação,0.2,Habitação
2006-11-01,2006,11,7445,2.Habitação,-0.08,Habitação
2006-12-01,2006,12,7445,2.Habitação,0.19,Habitação
2006-07-01,2006,7,7625,5.Transportes,0.37,Transportes
2006-08-01,2006,8,7625,5.Transportes,-0.32,Transportes
2006-09-01,2006,9,7625,5.Transportes,-0.01,Transportes
2006-10-01,2006,10,7625,5.Transportes,-0.13,Transportes
2006-11-01,2006,11,7625,5.Transportes,-0.09,Transportes
2006-12-01,2006,12,7625,5.Transportes,1.14,Transportes
2006-07-01,2006,7,7626,51.Transportes,0.37,Transportes
2006-08-01,2006,8,7626,51.Transportes,-0.32,Transportes
2006-09-01,2006,9,7626,51.Transportes,-0.01,Transportes
2006-10-01,2006,10,7626,51.Transportes,-0.13,Transportes
2006-11-01,2006,11,7626,51.Transportes,-0.09,Transportes
2006-12-01,2006,12,7626,51.Transportes,1.14,Transportes
2006-07-01,2006,7,7660,6.Saúde e cuidados pessoais,0.44,Saúde e cuidados pessoais
2006-08-01,2006,8,7660,6.Saúde e cuidados pessoais,0.2,Saúde e cuidados pessoais
2006-09-01,2006,9,7660,6.Saúde e cuidados pessoais,0.28,Saúde e cuidados pessoais
2006-10-01,2006,10,7660,6.Saúde e cuidados pessoais,0.37,Saúde e cuidados pessoais
2006-11-01,2006,11,7660,6.Saúde e cuidados pessoais,0.22,Saúde e cuidados pessoais
2006-12-01,2006,12,7660,6.Saúde e cuidados pessoais,0.25,Saúde e cuidados pessoais
2006-07-01,2006,7,7766,8.Educação,0.09,Educação
2006-08-01,2006,8,7766,8.Educação,-0.02,Educação
2006-09-01,2006,9,7766,8.Educação,-0.01,Educação
2006-10-01,2006,10,7766,8.Educação,0.17,Educação
2006-11-01,2006,11,7766,8.Educação,0.03,Educação
2006-12-01,2006,12,7766,8.Educação,0.17,Educação
2006-07-01,2006,7,7786,9.Comunicação,-0.07,Comunicação
2006-08-01,2006,8,7786,9.Comunicação,-0.3,Comunicação
2006-09-01,2006,9,7786,9.Comunicação,-0.07,Comunicação
2006-10-01,2006,10,7786,9.Comunicação,-0.01,Comunicação
2006-11-01,2006,11,7786,9.Comunicação,-0.1,Comunicação
2006-12-01,2006,12,7786,9.Comunicação,-0.01,Comunicação
2006-07-01,2006,7,7787,91.Comunicação,-0.07,Comunicação
2006-08-01,2006,8,7787,91.Comunicação,-0.3,Comunicação
2006-09-01,2006,9,7787,91.Comunicação,-0.07,Comunicação
2006-10-01,2006,10,7787,91.Comunicação,-0.01,Comunicação
2006-11-01,2006,11,7787,91.Comunicação,-0.1,Comunicação
2006-12-01,2006,12,7787,91.Comunicação,-0.01,Comunicação
2006-07-01,2006,7,7788,9101.Comunicação,-0.07,Comunicação
2006-08-01,2006,8,7788,9101.Comunicação,-0.3,Comunicação
2006-09-01,2006,9,7788,9101.Comunicação,-0.07,Comunicação
2006-10-01,2006,10,7788,9101.Comunicação,-0.01,Comunicação
2006-11-01,2006,11,7788,9101.Comunicação,-0.1,Comunicação
2006-12-01,2006,12,7788,9101.Comunicação,-0.01,Comunicação
2007-01-01,2007,1,7170,1.Alimentação e bebidas,0.84,Alimentação e bebidas
2007-02-01,2007,2,7170,1.Alimentação e bebidas,0.78,Alimentação e bebidas
2007-03-01,2007,3,7170,1.Alimentação e bebidas,0.98,Alimentação e bebidas
2007-04-01,2007,4,7170,1.Alimentação e bebidas,0.03,Alimentação e bebidas
2007-05-01,2007,5,7170,1.Alimentação e bebidas,0.16,Alimentação e bebidas
2007-06-01,2007,6,7170,1.Alimentação e bebidas,1.09,Alimentação e bebidas
2007-07-01,2007,7,7170,1.Alimentação e bebidas,1.27,Alimentação e bebidas
2007-08-01,2007,8,7170,1.Alimentação e bebidas,1.39,Alimentação e bebidas
2007-09-01,2007,9,7170,1.Alimentação e bebidas,0.44,Alimentação e bebidas
2007-10-01,2007,10,7170,1.Alimentação e bebidas,0.52,Alimentação e bebidas
2007-11-01,2007,11,7170,1.Alimentação e bebidas,0.73,Alimentação e bebidas
2007-12-01,2007,12,7170,1.Alimentação e bebidas,2.06,Alimentação e bebidas
2007-01-01,2007,1,7445,2.Habitação,0.07,Habitação
2007-02-01,2007,2,7445,2.Habitação,0.19,Habitação
2007-03-01,2007,3,7445,2.Habitação,0.26,Habitação
2007-04-01,2007,4,7445,2.Habitação,0.39,Habitação
2007-05-01,2007,5,7445,2.Habitação,0.19,Habitação
2007-06-01,2007,6,7445,2.Habitação,0.25,Habitação
2007-07-01,2007,7,7445,2.Habitação,-0.74,Habitação
2007-08-01,2007,8,7445,2.Habitação,0.05,Habitação
2007-09-01,2007,9,7445,2.Habitação,0.54,Habitação
2007-10-01,2007,10,7445,2.Habitação,-0.02,Habitação
2007-11-01,2007,11,7445,2.Habitação,0.41,Habitação
2007-12-01,2007,12,7445,2.Habitação,0.16,Habitação
2007-01-01,2007,1,7625,5.Transportes,0.62,Transportes
2007-02-01,2007,2,7625,5.Transportes,0.07,Transportes
2007-03-01,2007,3,7625,5.Transportes,0.22,Transportes
2007-04-01,2007,4,7625,5.Transportes,0.31,Transportes
2007-05-01,2007,5,7625,5.Transportes,0.23,Transportes
2007-06-01,2007,6,7625,5.Transportes,-0.4,Transportes
2007-07-01,2007,7,7625,5.Transportes,-0.08,Transportes
2007-08-01,2007,8,7625,5.Transportes,0.05,Transportes
2007-09-01,2007,9,7625,5.Transportes,-0.16,Transportes
2007-10-01,2007,10,7625,5.Transportes,0.12,Transportes
2007-11-01,2007,11,7625,5.Transportes,0.38,Transportes
2007-12-01,2007,12,7625,5.Transportes,0.71,Transportes
2007-01-01,2007,1,7626,51.Transportes,0.62,Transportes
2007-02-01,2007,2,7626,51.Transportes,0.07,Transportes
2007-03-01,2007,3,7626,51.Transportes,0.22,Transportes
2007-04-01,2007,4,7626,51.Transportes,0.31,Transportes
2007-05-01,2007,5,7626,51.Transportes,0.23,Transportes
2007-06-01,2007,6,7626,51.Transportes,-0.4,Transportes
2007-07-01,2007,7,7626,51.Transportes,-0.08,Transportes
2007-08-01,2007,8,7626,51.Transportes,0.05,Transportes
2007-09-01,2007,9,7626,51.Transportes,-0.16,Transportes
2007-10-01,2007,10,7626,51.Transportes,0.12,Transportes
2007-11-01,2007,11,7626,51.Transportes,0.38,Transportes
2007-12-01,2007,12,7626,51.Transportes,0.71,Transportes
2007-01-01,2007,1,7660,6.Saúde e cuidados pessoais,0.47,Saúde e cuidados pessoais
2007-02-01,2007,2,7660,6.Saúde e cuidados pessoais,0.4,Saúde e cuidados pessoais
2007-03-01,2007,3,7660,6.Saúde e cuidados pessoais,0.32,Saúde e cuidados pessoais
2007-04-01,2007,4,7660,6.Saúde e cuidados pessoais,0.47,Saúde e cuidados pessoais
2007-05-01,2007,5,7660,6.Saúde e cuidados pessoais,0.57,Saúde e cuidados pessoais
2007-06-01,2007,6,7660,6.Saúde e cuidados pessoais,0.32,Saúde e cuidados pessoais
2007-07-01,2007,7,7660,6.Saúde e cuidados pessoais,0.33,Saúde e cuidados pessoais
2007-08-01,2007,8,7660,6.Saúde e cuidados pessoais,0.31,Saúde e cuidados pessoais
2007-09-01,2007,9,7660,6.Saúde e cuidados pessoais,0.35,Saúde e cuidados pessoais
